wavelength,MAS1,MAS2,MAS3,MAS4,MAS5,MAS6,MAS7,MAS8,MAS9,MAS10
455.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0732,0.0000,0.0000
457.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8372,0.0000,0.0000
460.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6403,0.0000,0.0000
462.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9195,0.0000,0.0000
465.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0091,0.0000,0.0000
467.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0102,0.0000,0.0000
470.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0102,0.0000,0.0000
472.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0099,0.0000,0.0000
475.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9670,0.0000,0.0000
477.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0931,0.0000,0.0000
480.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2880,0.0000,0.0000
482.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1186,0.0000,0.0000
485.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0237,0.0000,0.0000
487.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
490.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
492.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
495.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
497.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
500.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
502.50,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
505.00,0.0338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
